YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-64,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
2011,1,2.53336,2.69151,6584,0,6342,1059,20026,1923,744043
2011,2,2.91288,2.91063,6238,0,7773,953,20721,1921,711908
2011,3,3.44497,3.49232,7247,0,11243,938,26257,1964,751850
2011,4,4.16185,4.0037,8007,0,15291,931,31975,1947,798637
2011,5,4.55159,4.43534,8195,0,16366,1197,34284,1970,772974
2011,6,4.46504,4.24215,8036,0,16516,1096,34456,1961,812230
2011,7,4.55124,4.39719,8172,0,17493,1293,36567,1910,831600
2011,8,4.0822,3.90256,7839,0,13718,1267,31277,1908,801449
2011,9,3.38812,3.15073,6376,0,10496,1146,24627,1860,781629
2011,10,2.99142,2.72422,5691,0,8427,899,20377,1829,747993
2011,11,2.61542,2.33336,5363,0,6702,804,17309,1823,741807
2011,12,2.09065,1.925,4400,0,5489,613,14031,1790,728883
2011,13,1.86146,1.75243,4189,0,5025,622,12957,1770,739375
2011,14,1.61377,1.57704,3701,0,4557,508,11498,1723,729089
2011,15,1.42199,1.35766,3164,0,3562,450,9391,1681,691707
2011,16,1.3382,1.31223,3139,0,3064,428,8695,1651,662612
2011,17,1.19995,1.14937,2895,0,2673,383,7830,1612,681240
2011,18,1.14889,1.11451,2532,0,2553,393,7307,1585,655627
2011,19,1.12194,1.10984,2551,0,2595,351,7236,1556,651983
2011,20,1.06712,1.0524,2353,0,2280,305,6530,1516,620485
2011,21,1.05058,1.03536,2213,0,2110,299,6072,1381,586460
2011,22,1.15203,1.11777,2249,0,1980,307,5946,1357,531954
2011,23,0.970975,0.982949,2040,0,1760,278,5547,1296,564322
2011,24,0.894683,0.925194,1812,0,1599,262,4989,1279,539238
2011,25,0.843568,0.835531,1604,0,1422,244,4448,1251,532356
2011,26,0.815409,0.832393,1472,0,1462,210,4218,1225,506732
2011,27,0.823052,0.855591,1423,0,1269,224,4009,1211,468565
2011,28,0.674635,0.706949,1255,0,1206,188,3721,1220,526346
2011,29,0.631883,0.694387,1243,0,1184,178,3597,1203,518011
2011,30,0.641513,0.687976,1251,0,1188,169,3538,1179,514262
2011,31,0.529813,0.644743,1088,0,1125,151,3202,1175,496632
2011,32,0.644089,0.67533,1207,0,1223,158,3523,1175,521671
2011,33,0.667718,0.72823,1342,0,1358,166,3874,1191,531975
2011,34,0.705668,0.806526,1505,0,1600,220,4444,1195,551005
2011,35,0.804155,0.860408,1528,0,1781,213,4717,1200,548228
2011,36,0.907804,0.936075,1622,0,1809,185,4813,1184,514168
2011,37,1.00555,0.966683,1788,0,2206,205,5567,1196,575887
2011,38,1.03601,0.996007,1816,0,2264,242,5822,1201,584534
2011,39,1.07583,1.10846,2248,0,2514,244,6708,1213,605162
2011,40,1.16092,1.20345,3106,0,3485,377,9365,1850,778182
2011,41,1.19785,1.23777,3317,0,3667,370,9803,1883,791987
2011,42,1.27926,1.25259,3324,0,3837,379,9958,1905,794995
2011,43,1.29194,1.30546,3453,0,4035,380,10298,1900,788840
2011,44,1.42824,1.45295,3634,0,4658,387,11396,1925,784334
2011,45,1.39803,1.44089,3949,0,4348,456,11496,1946,797839
2011,46,1.45831,1.46221,3923,0,4361,474,11721,1900,801594
2011,47,1.56548,1.65573,4125,0,3340,430,10377,1918,626731
2011,48,1.34313,1.46606,4237,0,3955,413,11479,1904,782984
2011,49,1.48139,1.51811,3995,0,4040,442,11187,1898,736905
2011,50,1.63398,1.66429,4579,0,4097,546,12137,1872,729258
2011,51,1.83126,1.85274,5016,0,3535,521,11958,1851,645424
2011,52,2.10451,2.12413,5243,0,3184,668,12356,1821,581697
