YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-64,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
2012,1,1.73625,1.76709,4514,0,3393,715,11992,1891,678631
2012,2,1.55066,1.5434,4059,0,3636,611,11543,1883,747894
2012,3,1.62891,1.64762,4364,0,4030,498,11939,1887,724623
2012,4,1.76038,1.6843,4766,0,4802,513,13209,1891,784244
2012,5,1.92728,1.86354,5218,0,5336,564,14448,1885,775298
2012,6,1.91994,1.86408,5028,0,5555,565,14624,1875,784516
2012,7,2.09951,2.01839,5277,0,5994,667,15929,1884,789193
2012,8,2.23973,2.10385,5246,0,5990,761,16137,1853,767022
2012,9,2.21921,2.09555,5219,0,6239,766,16518,1826,788242
2012,10,2.16693,2.10398,4811,0,6493,629,15763,1816,749198
2012,11,2.38913,2.2941,5175,0,6768,701,17150,1819,747570
2012,12,1.96466,1.92223,4422,0,5683,609,14524,1780,755579
2012,13,1.84229,1.74239,3807,0,5256,549,13017,1753,747079
2012,14,1.68674,1.67601,3582,0,4631,572,11930,1729,711808
2012,15,1.53136,1.49637,3253,0,4059,544,10732,1707,717202
2012,16,1.37912,1.38202,3001,0,4020,393,10123,1699,732480
2012,17,1.29515,1.28926,2638,0,3802,435,9370,1675,726772
2012,18,1.39521,1.35803,2509,0,3671,455,8999,1564,662649
2012,19,1.32522,1.30833,2524,0,3468,419,8576,1546,655492
2012,20,1.23059,1.26692,2465,0,3087,375,8062,1503,636347
2012,21,1.23028,1.27731,2545,0,3011,378,7878,1415,616765
2012,22,1.26877,1.2991,2480,0,2601,350,7153,1409,550614
2012,23,1.10782,1.16297,2336,0,2352,338,6765,1365,581700
2012,24,1.09559,1.08612,2231,0,2024,300,6133,1289,564670
2012,25,1.11031,1.0568,2259,0,1974,285,6048,1295,572296
2012,26,1.10616,1.07871,2168,0,1850,288,5786,1260,536380
2012,27,1.10816,1.04662,1911,0,1706,273,5291,1271,505533
2012,28,0.999444,0.928152,1913,0,1751,220,5185,1240,558637
2012,29,0.924199,0.901936,1818,0,1640,241,4931,1223,546713
2012,30,0.949257,0.915356,1752,0,1721,283,5103,1250,557488
2012,31,0.978903,0.952548,1728,0,1706,267,5159,1240,541600
2012,32,0.925024,0.916661,1660,0,1718,284,5026,1248,548294
2012,33,0.848456,0.901787,1721,0,1755,232,5051,1238,560110
2012,34,1.04451,1.03315,2098,0,2128,296,6141,1238,594395
2012,35,1.0986,1.05238,1958,0,2335,277,6318,1238,600354
2012,36,1.22071,1.12713,1886,0,2294,318,6296,1242,558585
2012,37,1.24976,1.1866,2176,0,2870,415,7382,1252,622114
2012,38,1.22892,1.21415,2295,0,2972,348,7656,1268,630563
2012,39,1.29393,1.25198,2421,0,2867,398,7807,1248,623572
2012,40,1.23034,1.20559,2773,0,3691,415,9395,1932,779285
2012,41,1.3278,1.31929,2960,0,4007,489,10158,1940,769959
2012,42,1.33995,1.32737,3202,0,4233,488,10585,1968,797444
2012,43,1.37842,1.36688,3346,0,4268,516,10913,1958,798388
2012,44,1.50085,1.50535,3326,0,4422,484,11061,1929,734781
2012,45,1.65163,1.61273,3733,0,5145,541,12674,1974,785871
2012,46,1.76746,1.75208,4034,0,5526,597,13623,1966,777534
2012,47,2.30609,2.33365,4651,0,5387,683,14650,1968,627772
2012,48,2.16324,2.2268,5102,0,7018,953,18521,2006,831730
2012,49,2.83038,2.97657,6486,0,10857,1071,24877,2006,835762
2012,50,3.43761,3.62552,7446,0,12945,1262,29432,1977,811800
2012,51,4.30554,4.5532,8546,0,13971,1648,34332,1908,754019
2012,52,6.06082,6.02598,9709,0,11391,2554,36588,1905,607171
